jname,cname,ename,jflavor,cflavor,eflavor,correspond
祖先の残響、アブエロ,念世先父阿布罗,"Abuelo, Ancestral Echo",「来い、友よ。世界が我らを覚えているか確かめてみようじゃないか。」,「来吧，朋友们，看看这个世界是否还记得我们。」,"""Come, friends. Let us see if this world remembers us.""",我ら
打ち壊すブロントドン,痛击霆伟龙,Thrashing Brontodon,「数世紀も失われていた古代の石柱だったんだが、大した内容が刻まれていなかったことを祈るとしよう。」\n――太陽帝国の歴史家、トシャヤク,「我觉得，就只希望这些失落我们人民手中千百年之久的远古巨石没那么重要好了。」\n～烈阳帝国史家托夏亚,"""I suppose we'll just hope those ancient monoliths lost to our people for centuries weren't particularly important.""\n—Toxayac, Sun Empire historian",
太陽を求める者,寻光客,Seeker of Sunlight,「我らは壊れた世界から逃げていたのではない。楽園へ向かって走っていたのだ！」,「我们并非逃离破败世界。我们是在奔向天堂。」,"""We weren't fleeing a broken world. We were running toward paradise!""",我ら-
好戦的な槌頭,好斗颅锤龙,Pugnacious Hammerskull,「マイコイドが嫌いなのか、それとも物を壊すのが好きなのかはわかりません。放っておきましょう。」\n――オルテカの斥候、サミン,「我不知道它是跟智蕈有仇还是只是喜欢砸东西。随它去吧。」\n～欧尔特克斥候撒明,"""I don't know whether it hates the mycoids or just loves breaking things. I say we leave it be.""\n—Samin, Oltec scout",
マラメトの喧嘩屋,好斗豹族,Malamet Brawler,「深淵の王の印を持つものの名において、貴様らを風に吹かれる胞子の如く蹴散らしてやろう！」,「我身上有深邃王的印记，以他之名，我要将你化作风中残孢！」,"""I bear the marking of the Deep King, and in his name I will rend you to nothing but spores on the wind!""",
イクサーリの伝承守り,依夏理记史人,Ixalli's Lorekeeper,「我らは恐竜を追って洞窟を脱したのだろうか？ それとも恐竜の方が追っていたのか？この象形は我々の歴史そのものの認識を書き換えかねない。」,「是我们跟随恐龙走出了洞窟，还是恐龙跟着我们？这些雕符或会彻底改变我们对历史的认知。」,"""Did we follow the dinosaurs out of the caverns, or did they follow us? These glyphs could change our entire understanding of our history.""",我ら--我々
巨体の猛禽,巨身迅猛龙,Hulking Raptor,「以前、彼がファイレクシアン・ドレッドノートを引きちぎる様子を見たことがあるわ。多少吸血鬼が居たところで足止めにもならないでしょうね。」\n――ファートリ,「我曾见过它一口将非瑞克西亚无畏舰咬成两半。去去几个吸血鬼根本拖不住他。」\n～华特莉,"""I watched him rip a Phyrexian dreadnought in half once. A few vampires will barely slow him down.""\n—Huatli",
ファートリの最後の一撃,华特莉纳命击,Huatli's Final Strike,「インティの名は詩や歴史に栄誉を添え、何世代も語られていくわ。お前の名はこの洞窟で埃にまみれ、忘れられるの。」\n――ファートリからヴィトへ,「因缇之名将随我们的诗歌与史诗传扬万代。而你的名字将在这洞窟里落寞蒙灰、遭人遗忘。」\n～华特莉怒斥维托,"""Inti's name will grace our poems and histories for generations. Yours will collect dust, forgotten, in this cave.""\n—Huatli, to Vito",
中心核の瞥見,瞥视核心,Glimpse the Core,「わあ。詩人を連れてきてよかった。」\n――ウェイタ,「哇。幸好我们带着诗人一起来。」\n～乌艾塔,"""Wow. It's a good thing we brought a poet.""\n—Wayta",
地揺すりの戦慄大口,撼地血口龙,Earthshaker Dreadmaw,「この洞窟の征服は他のものに譲ったほうが良いかと。」\n――地図作りの達人、アマリア,「我提议让其他人来征服这洞窟。」\n～制图大师阿玛利亚,"""I suggest we leave this cavern for someone else to conquer.""\n—Amalia, master cartographer",
中断された眠り,遭扰沉眠,Disturbed Slumber,「言ってるだろ、あの壁、瞬きしたんだ！」,「我就跟你说，那堵墙刚刚眨了下眼！」,"""I'm telling you, the wall just blinked!""",
日を浴びるカピバラ,沐日水豚,Basking Capybara,「最も賢き哲学者ですら、カピバラの内なる平穏に到達することはできないだろう。」\n――オルテカの説教者、ネーリ,「就连我们知识最渊博的哲学家，也只能希冀自己终能达到水豚一般的平静境界。」\n～欧尔特克布道人奈莉,"""Even our most learned philosophers can only hope to approach the inner serenity of the humble capybara.""\n—Nelli, Oltec didact",
鎧の同族呼び,装甲唤族龙,Armored Kincaller,「彼女は群れを守るために全力を尽くすわ。私たちが群れの一員と認めてもらえたのは運が良かっただけよ。」\n――ファートリ,「她会全心尽力地保护自己的族群。能被她视作自己人，我们实属荣幸。」\n～华特莉,"""She's devoted to protecting her herd. We're just lucky she considers us part of it.""\n—Huatli",私たち
地盤の危険,地壳灾害,Tectonic Hazard,「地面は火の海で、天井は槍が連なっている。おまけにキノコが今にも襲ってきそうだ。こんな状態で落ち着いていられるものか！」\n――鉄面連合の斥候、ジーノ・グラッグ,「地上着火，天上下矛，还有个蘑菇想要诅咒我。你让我怎么不慌张？」\n～莽霸联盟斥候基诺格拉格,"""The ground is on fire, the ceiling's made of spears, and I think a mushroom tried to curse me. Don't tell me not to panic!""\n—Jino Grag, Brazen Coalition scout",
叙情的創意,诗情巧意,Poetic Ingenuity,「君には感銘を受けるよ。」,「你启发了我。」,"""You inspire me.""",
黄金憤怒の徘徊者,金怒漫游械,Goldfury Strider,「では、吸血鬼の来客を盛大にもてなそうじゃないか？」\n――千番目の月、アニム・パカル,「吸血鬼朋友远道而来，就让我们来为他们接风洗尘如何？」\n～千月统帅阿妮帕卡,"""Let's send our vampiric visitors a welcoming party, shall we?""\n—Anim Pakal, Thousandth Moon",
実業的な悪党,雄心无赖,Enterprising Scallywag,「あいつならきっと俺に譲ってくれたはずだ！」,「他肯定不希望我能得到这玩意！」,"""He would've wanted me to have it!""",俺
戦慄大口の怒り,血口龙怒火,Dreadmaw's Ire,「この三日間で沈んだ船はこれで五隻目だぞ！もっと頑丈な素材で作れないのか？」\n――マルコム・リー,「这已经三天来损失的第五艘了！我们就不能用更坚固的东西来造船吗？」\n～马科姆李,"""That's the fifth ship lost in three days! Can't we build them out of something stronger?""\n—Malcolm Lee",
焼熱の太陽の騎兵,炙阳骑兵,Burning Sun Cavalry,「炎と雷、牙と爪。これらを以てして侵略者をトレゾンまで追い返してみせよう！」,「烈火闪电、尖牙利爪，我们会凭手中一切将这些入侵者赶回图瑞琮！」,"""By fire and lightning, tooth and claw, we will send these invaders fleeing back to Torrezon!""",
削剥,风化侵蚀,Abrade,「歩く時計が大砲を全て破壊しただって！？ どうなってんだい！？」\n――風雲船長ラネリー,「你说一个会走路的钟把我们的大炮全毁了是什么意思？！」\n～兰娜莉速腾船长,"""What do you mean a walking clock destroyed all our cannons?!""\n—Captain Lannery Storm",
ヴィトの審問官,维托的审判官,Vito's Inquisitor,「溢れる血の時代は来たれり。喰われるものは喰らわれ、喰らうものは満たされる。」,「我们行将开创朱光时代，觅食者终饱餐无忧，喂食者亦性命无愁。」,"""We usher in the Age of Everflowing Blood, when those who are fed upon will be fed, and those who feed will be satiated.""",
末梢の屍道士,突蕈死灵法师,Synapse Necromage,「殺しても無駄だって？じゃあどうするんだ？お茶会でも開いて気を逸らすか？」\n――鉄面連合の探鉱者、メルヴィン,「杀死他们没有用？那我们能怎么办？开茶会引开他们？」\n～莽霸联盟勘探员莫文,"""It's no good killing them? Then what do we do? Distract them with a tea party?""\n—Mervin, Brazen Coalition prospector",
毒気の薬,恶毒药剂,Mephitic Draught,「こっち見るなよ。俺は飲まないぞ。」\n――凶兆艦隊の掌帆長、ドラナク,「别看我，我可不喝。」\n～焦炬舰队水手长卓纳克,"""Don't look at me. I'm not drinking it.""\n—Dranach, Dire Fleet boatswain",俺-俺
超巨大ヒル,庞巨蛭,Gargantuan Leech,「ここにいる何もかもが私の血を吸いに来るの？」\n――調査隊の運搬人、デリレーヌ,「难道这地底下每一个东西都想吸我的血吗？」\n～探险队脚夫德利涅,"""Does *everything* down here want to suck my blood?""\n—Derilene, expedition porter",私
深淵のゴブリンの骨取り,深邃夺骨鬼怪,Deep Goblin Skulltaker,「あっちいけ！これは俺のもんだ！」,「走开！我先发现的！」,"""Go away! I found it first!""",俺
硬骨漢の船員,可靠船伴,Staunch Crewmate,「見捨てろだって？バカ言え。まだ貸した金を返してもらってないだろ。」,「丢下你？想得美。你还欠我钱呢。」,"""Leave you? Not a chance. You still owe me money.""",
川守りの偵察,川流使斥候,River Herald Scout,「心配するな、小さき泳ぐ者たちよ。用があるのは君たちではなく、遺跡の方だ。」,「小鱼们，不用担心。我是为遗迹而来，无意伤害你们。」,"""Don't worry, little swimmers. I'm here for the ruins, not you.""",
マーフォークの洞窟潜り,潜窟人鱼,Merfolk Cave-Diver,「地下の海を出来る限り調べ尽くすのだ。恐らく我らの先祖の秘密はこの奥底に眠っている。」\n――ティシャーナ,「尽你所能摸透这片地下海的底细。我怀疑其深处还有更多先祖的秘密等待我们去发现。」\n～提莎娜,"""Learn all you can of this underground sea. I suspect more secrets of our ancestors lie waiting in its depths.""\n—Tishana",我ら
エリマキ洞窟ワーム,褶领洞窟亚龙,Frilled Cave-Wurm,「以前ジャングルの水辺で見かけた変なサラマンダーを覚えているか？どうやらこれがそいつの神らしい。」\n――風鮫の補給士官、カレラ,「还记得我们在丛林溪流里碰到的那条奇怪火蜥蜴吗？我想我们现在遇到它的神了。」\n～风鲨号军需官卡雷拉,"""Remember that weird salamander thing we found in the jungle stream? I think we just met its god.""\n—Carella, quartermaster of the *Windshark*",
血滾りの福音者,血色福音师,Sanguine Evangelist,「牙の兄弟よ、共に喰らおう。」,「尖牙同胞们，我们同饮共食。」,"""Fang-brethren, we feed together.""",
遺跡潜みのコウモリ,伏迹蝙蝠,Ruin-Lurker Bat,「見よ！我らの旅路を見守るために、アクロゾズ様が御子を遣わしてくださったのだ！」\n――最初の福者、クラヴィレーニョ,「看呐！阿洛佐兹派出自己的子嗣来见证我们的朝圣之旅。」\n～受福众首克莱维诺,"""Look! Aclazotz sends his children to watch over our pilgrimage.""\n—Clavileño, First of the Blessed",我ら
親族会,同族团圆,Family Reunion,ファートリはアカルに微笑みかけた。「長きに渡り離れ離れとなっていましたが、それでも私たちは家族なんです。」,华特莉抬头向阿卡笑道：「虽然我们两族分隔已久，但彼此仍是骨肉同胞。」,"Huatli smiled up at Akal. ""Our peoples have too long been parted, and yet we are cousins still.""",私たち
摩滅したパワーストーン,受损的魔力石,Worn Powerstone,「この不可解な力はコズミュームに由来するのではなく、壁のコズミュームから力を吸い取っている正体不明の物体のものだった。これは危険な物体かもしれない。全てを変えてしまうかもしれない。」\n――オルテカの考古学的調査,「最后，我们发现这奇妙的能源并非宇金，而是某种能从墙上吸附宇金残留的未知物质。可能会带来危险。可能会带来剧变。」\n～欧尔特克考古勘察纪录,"""The strange energy source isn't cosmium after all, but some unidentifiable material that has leached cosmium residue from the walls. Could be dangerous. Could change everything.""\n—Oltec archaeological survey",
囁き絹の外套,细语丝篷,Whispersilk Cloak,「それは何らかの方法で光を屈折させることができ、着用者を実質透明化させることができる。たまたまこれに足を引っ掛けなければ、見つけられなかっただろう！」\n――クイントリウス・カンドの研究メモ,「它似乎能用某种方法扭曲光线，从而令它及其穿戴者不见踪影。要不是我被绊了一跤，我根本不可能发现这东西！」\n～昆托力康德，研究纪录,"""It bends the light somehow, rendering it—and its wearer—functionally invisible. I never would have found it if I hadn't tripped over it!""\n—Quintorius Kand, research notes",
稲妻のすね当て,迅雷护胫,Lightning Greaves,「必要なら金や魔石の横領は不問。ただし私の新品のブーツに指一本でも触れた者は、最低一ヶ月汚水掃除。」\n――風雲船長ラネリーの注意書き,「黄金魔石随便拿，但谁胆敢在我新靴子上留下脏手印，就等着喝一整个月的污水。」\n～兰娜莉速腾船长手书,"""Skim all the gold and magic rocks you want, but if I see one greasy fingerprint on my new boots, you'll be drinking bilgewater for a month.""\n—Note from Captain Lannery Storm",私
太陽の拳,五阳护手,Fist of Suns,「ウィレムがそれを身に着けた途端、指先から魔法みたいに火花を散らし始めたんだ！次は俺の番だったんだが、あいつの手から外れなくなっちまった。助けをよこしてくれ。」\n――鉄面連合の調査派遣兵,「威廉戴上手套后，就见指尖不断射出火花，像法师一样！原本接下来该到我，但这该死的东西摘不下来了。速速来援。」\n～莽霸联盟探险队急讯,"""Willem put it on and started shooting sparks from his hands like some kind of wizard! Was supposed to be my turn next, but the blasted thing won't come off his hand. Send help.""\n—Brazen Coalition expedition dispatch",俺
精力の護符,活力护身符,Amulet of Vigor,「皆はコズミュームとやらに熱心だが、私はこの太鼓の琥珀の中にそれに匹敵する力を感じている。」\n――クイントリウス・カンドの研究メモ,「人人都痴迷宇金，不过我感觉这小块远古琥珀之中，也蕴含有能与之匹敌的能量。」\n～昆托力康德，研究纪录,"""Everyone is obsessed with this cosmium stuff, but I can sense some kind of comparable power in this droplet of ancient amber.""\n—Quintorius Kand, research notes",私
地形学の追跡者,地势追迹师,Topography Tracker,「高所が苦手じゃなくてよかった。」,「幸好我不恐高。」,"""Good thing I'm not afraid of heights.""",
カリスマ溢れる征服者,魅力征服者,Charismatic Conqueror,「この地表の下には、我らの救いの光を待ちわびる別の世界が広がっている。」,「地表之下有一整个世界有待我们救赎之光去恩泽。」,"""There's a whole world under the surface, waiting for the light of our salvation.""",我ら
反逆者、ドン・アンドレ,变节军将唐安德烈,"Don Andres, the Renegade",「わざわざ薄暮の軍団の階級を登らなくとも、自らの旗のもとに立てば良いだろう？」,「如果我能够自立旗帜，又何必依照暮影军团的繁缛章法循阶晋升？」,"""Why climb the tangled rigging of the Legion of Dusk's hierarchy when I can fly a free flag of my own?""",
硬化した鱗,坚固鳞甲,Hardened Scales,「私の前に、身をよじって賞品の守護者が現れた。\nそれは石の鱗と剣呑な目を持った一匹の蛇であった。」\n――*「とある旅人の試練」*,「眼前珍宝守卫盘卷身躯，想阻我得手；\n巨蛇顽石附体眼神灵动，怕是难赶走！」\n～*《旅人渡劫记》*,"""Before me writhed the guardian of my prize,\nA serpent with stone skin and cunning eyes!""\n—*A Traveler's Trials*",私
ほとばしる魔力,魔法力闪光,Mana Flare,「私は心臓を山に、記憶を風に捧げた。私の最後の瞬間は、歴史へと焼き付けることにしよう。」\n――*「炎の娘たち」*,「我将心胸献给山河，将记忆奉予清风。就让我焚烧自己，将生命最后时刻写入历史。」\n～*《烈焰的女儿》*,"""I give my heart to the mountain, my memories to the wind. Let my last moment be burned into history.""\n—*Daughters of Flame*",私-私
刺し傷,刺创伤,Stab Wound,「初めは滑稽で、あたかも己を卑しめる作業のように思えた任務が、生き残るための酷薄な闘争だとすぐに判明した。」\n――*「甘歯村へようこそ」*,「起初看似荒唐丢脸的无谓任务，很快就变成了尔虞我诈的求生之争。」\n～*《甘饴村迎客》*,"""What first seemed like a ridiculous and vaguely demeaning task quickly turned into a vicious struggle for survival.""\n—*Welcome to Sweettooth*",
墓穴までの契約,墓约,Grave Pact,「『愚か者めが。』魔女は嘲笑った。『わしは、ここを生きて出ようとは思うとらなんだわい。そして執念深くつけ狙ってきたがゆえに、おぬしもまた生きては戻れぬと言うわけじゃ。』」\n――*「ダンバロウの呪い」*,「『蠢货，』巫婆冷笑道。『我从没想过要活着离开这里。既然你们都已死死跟了过来，那就都别走。』」\n～*《黯沼野邪咒》*,"""'Fools,' sneered the witch. 'I never intended to leave here alive. And thanks to your dogged insistence on following me, neither will you.'""\n—*Hexes of Dunbarrow*",わし
闇の後見,黑暗教导,Dark Tutelage,「我らの道は流人の道だ。苦痛を与えられ、与える道だ。だが強き者にとっては、フェイの謎より解き放たれし力へと続く道なのだ。」\n――*「魔女の道」*,「我们所选之道虽然受人唾弃：不仅予人痛苦，自身也会受尽折磨；但对强者而言，这是掌握破除仙灵谜题困扰之强大力量的必由之路。」\n～*《巫婆之道》*,"""Ours is a path of the outcast, of pain given and pain received. But for the strong, it is a path that leads to power untethered from fae riddles.""\n—*The Witch's Way*",我ら
正気減らし,崩碎心智,Fraying Sanity,「私は自分の心が手織り機に掛かる布のように引き延ばされるのを見た。\n死すらも終わりとならぬ破滅へと、歪み、よじれてゆくのを見た。」\n――*「とある旅人の試練」*,「在我眼前，自身思绪如织机上的滚动缕线，\n拉伸扭曲，缓缓扯向死气沉沉的无尽黯涧。」\n～*《旅人渡劫记》*,"""I saw my mind stretch like cloth on a loom,\nWarping, twisting toward a deathless doom.""\n—*A Traveler's Trials*",私
エンチャント複製,复制结界,Copy Enchantment,「『私は、もう誰も必要としない。』ヒルダは呟きました。『あなたは、もう誰も必要としない。』彼女の鏡像は応えました。」\n――*「冬の魔女」*,「『我不需要其他人，』希尔妲低声自语。『你不需要其他人，』镜中影像随声附和。」\n～*《凛冬女巫传》*,"""'I don't need anyone else', muttered Hylda. 'You don't need anyone else,' her reflection agreed.\n—Witch of Winter",私
強制,强迫症,Compulsion,「おお愛しい人よ、どうかわかっておくれ！\n冒険が招いている、私はその手を取らねばならぬのだ。」\n――「学士と騎士」,「卿卿吾爱，盼你领情！\n冒险呼唤，需我远行。」\n～「学者与骑士」,"""O my love, would that you could understand!\nAdventure beckons; I must take its hand.""\n—""The Scholar & the Knight""",私
土地税,抽地税,Land Tax,「『無礼にもあの町はわしの眺望の邪魔をしておる！』魔女は言った。巨人は身をかがめてお辞儀をし、微笑んだ。」\n――*「ガチョウの母」*,「『那小镇把我视野挡得干干净净！』巫婆愤怒道。巨人微笑欠身，得令退下。」\n～*《鹅鹅妈故事集》*,"""'That town is rudely blocking my view!' said the witch. The giant bowed and smiled.""\n—*The Goose Mother and Other Tales*",わし
霊体の正義,业报,Karmic Justice,「私はあなたの家族に徒労を負わせ、不当に扱ってしまった。私にできることは、この身をあなたの報復に供することのみだ。」\n――*「ペリン卿の愚行」*,「我曾因愚人之命而令贵府蒙冤，如今登门谢罪，任君处置。」\n～*《佩林爵士愚行录》*,"""I have wronged your family on a fool's errand. All I can offer is myself, that you might take your revenge.""\n—*The Folly of Syr Perrin*",私
突進する悪党,莽撞小混混,Charging Hooligan,「じきにネズミがこの街を走る。俺も一緒に走ろうじゃないか！」,「这城很快会被老鼠接管，我要和它们一起撒欢！」,"""Soon the rats are gonna run this town, so I'm gonna run with them!""",俺
進化する未開地,成形野地,Evolving Wilds,「僻境は常に変化し続けるものだ。川は流れを変え、木は歩いたり曲がったりし、岩は割れたり走り回ったりする。だがこれだけは忘れるな、旅人よ。お前自身こそが、ここで変わる最たるものなのだ。」\n――境界地のレインジャー、スターウィン,「诚然，幻野地势变幻多变：河流忽而改道，树木抽枝弯折，岩石开裂破碎。但旅人啊，请谨记我的话～在外会变的，主要是你自己。」\n～边境地巡林客斯图温,"""The wilds are unpredictable. Rivers change course, trees shuffle and bend, rocks split and scurry. But mark my words, traveler—the main thing that'll change out there is *you*.""\n—Sturwynn, Boundary Lands ranger",
案山子の導き手,指路稻草人,Scarecrow Guide,「我が高貴なる継ぎ接ぎの友よ、本当によくやった。鳥が一匹たりとも襲って来なかった！」\n――トロヤン,「好样的，我的缝组好友。到现在还没有鸟来咬过我们！」\n～特洛扬,"""You're doing a splendid job, my noble stitched friend. Not a single bird has attacked us!""\n—Troyan",我-
キャンディーの道標,糖果小径,Candy Trail,「見て！またあったよ！ママの言いつけなんて知らないわ。ママが帰ってくる前に戻ればいいんでしょ？」\n――エッジウォールの少女、ダニエラ,「看呐！又一颗！谁还把妈妈说过的话放心上？我们在她回来之前就到家。」\n～边墙镇少女丹妮拉,"""Look! Another one! Who cares what Mother said? We'll be home before she gets back.""\n—Daniela, Edgewall youth",
